,Wind,Clouds,Humidity,Country,Data,Temperture,Latitude,Longitude,City
146,9.17,18,69,RE,1603130809,73.4,-21.37,55.62,boa vista
147,0.67,79,96,RU,1603130809,12.88,62.22,135.8,boa vista
148,4.38,59,82,TH,1603130809,78.26,9.97,98.63,boa vista
149,5.82,75,82,US,1603130747,81.0,34.4,-119.52,boa vista
150,5.01,96,91,PH,1603130810,75.99,8.0,124.29,boa vista
151,8.05,1,29,US,1603130544,80.01,40.59,-122.39,boa vista
152,1.43,92,96,JP,1603130695,54.0,34.69,135.8,boa vista
153,1.99,59,81,NZ,1603130810,46.99,-46.28,169.85,boa vista
154,3.36,5,82,US,1603130599,72.0,37.46,-122.43,boa vista
155,13.65,0,15,EG,1603130811,88.14,24.09,32.91,boa vista
156,5.19,37,75,JP,1603130811,52.38,39.47,141.95,boa vista
157,2.86,75,83,IS,1603130573,37.4,66.04,-17.34,boa vista
158,16.11,40,88,JP,1603130741,78.8,26.35,127.87,boa vista
159,10.56,100,76,MV,1603130773,82.92,-0.6,73.08,boa vista
160,1.12,40,100,NZ,1603130316,48.99,-43.53,172.63,boa vista
161,20.38,8,71,PF,1603130812,78.6,-9.8,-139.03,boa vista
162,12.75,55,59,AR,1603130685,62.6,-38.0,-57.56,boa vista
163,7.31,67,90,CA,1603130812,28.83,55.74,-97.86,boa vista
164,13.87,90,100,AU,1603130695,57.2,-33.87,121.9,boa vista
165,12.53,50,85,AU,1603130694,55.11,-34.73,135.87,boa vista
166,2.26,95,93,IN,1603130812,75.04,19.42,80.07,boa vista
167,4.85,91,94,RU,1603130724,12.76,68.53,146.42,boa vista
168,10.29,0,21,SD,1603130813,93.2,15.55,32.53,boa vista
169,7.83,74,82,ZA,1603130813,59.77,-34.05,23.37,boa vista
170,2.82,100,92,CD,1603130813,74.08,0.81,24.43,boa vista
171,10.51,83,70,IS,1603130813,40.59,64.89,-23.71,boa vista
172,1.99,69,83,ZA,1603130368,61.0,-34.0,24.73,boa vista
173,12.75,76,86,FO,1603130704,41.0,62.23,-6.59,boa vista
174,0.13,77,76,CF,1603130814,74.68,6.54,21.99,boa vista
175,13.87,75,83,JP,1603130814,78.8,26.18,127.76,boa vista
176,0.96,100,78,CA,1603130814,25.18,60.75,-137.51,boa vista
177,1.1,65,75,PG,1603130576,80.4,-2.02,147.27,boa vista
178,1.48,0,38,AF,1603130814,50.25,32.07,64.84,boa vista
179,4.23,0,22,YE,1603130588,70.81,14.4,46.47,boa vista
180,10.4,51,74,AU,1603130814,66.0,-27.58,153.3,boa vista
181,4.7,75,78,PH,1603130815,82.4,14.35,121.02,boa vista
182,9.04,100,91,CA,1603130369,33.37,70.47,-68.59,boa vista
183,9.17,75,85,SJ,1603130568,24.8,78.22,15.64,boa vista
184,3.36,75,55,PE,1603130815,91.4,-3.75,-73.25,boa vista
185,7.87,20,54,GY,1603130815,89.82,8.2,-59.78,boa vista
186,10.29,20,62,MX,1603130816,89.6,20.7,-105.2,boa vista
187,16.42,0,80,PF,1603130370,79.88,-16.48,-151.75,boa vista
188,1.81,17,80,CA,1603130816,24.93,58.81,-122.7,boa vista
189,7.0,15,68,MU,1603130765,73.99,-20.01,57.66,boa vista
190,3.42,92,100,MG,1603130816,62.29,-22.82,47.28,boa vista
191,11.07,18,82,RU,1603130699,36.63,63.05,179.32,boa vista
192,4.0,51,74,CA,1603130736,33.01,63.75,-68.51,boa vista
